State_UT,Incidents_2023,Incidents_2024,Incidents_2025,Rate_Per_Lakh,Chargesheet_Rate,Conviction_Rate,Persons_Arrested
Telangana,15297,16834,18420,49.2,38.4,18.2,4210
Karnataka,12556,14120,15890,23.5,41.2,22.1,3850
Maharashtra,8249,9410,10850,8.7,46.8,24.5,2940
Uttar Pradesh,10117,11200,12480,5.3,62.1,31.4,4680
Delhi (UT),6852,7920,8910,42.8,34.2,16.8,2150
Andhra Pradesh,4980,5620,6340,11.9,48.5,20.4,1820
Tamil Nadu,4210,4890,5610,7.2,54.1,28.6,1640
Gujarat,3940,4420,5120,7.4,51.8,26.2,1490
Haryana,3450,4100,4820,16.2,39.6,19.1,1380
Rajasthan,3210,3810,4430,5.6,44.5,21.8,1290
Kerala,2890,3420,4100,11.3,58.2,34.1,1180
West Bengal,2650,3120,3740,3.8,42.1,18.9,1020
Madhya Pradesh,2410,2890,3410,4.1,49.8,25.3,980
Odisha,1980,2340,2820,6.1,47.2,22.4,810
Punjab,1720,2050,2480,8.2,43.6,19.8,740
Bihar,1640,1980,2390,1.9,36.4,14.2,710
Assam,1420,1710,2080,5.8,39.1,17.5,620
Jharkhand,1380,1650,1990,5.1,37.8,16.1,590
Uttarakhand,1120,1380,1690,14.8,45.2,23.1,490
Chhattisgarh,980,1210,1490,4.9,46.7,21.9,440
Himachal Pradesh,540,680,840,11.2,56.4,32.8,280
Goa,320,410,520,33.1,48.9,24.6,190
Jammu and Kashmir,410,530,680,5.0,41.2,19.4,220
Chandigarh (UT),280,360,460,37.4,42.5,21.0,160
Puducherry (UT),160,210,280,18.4,52.1,27.5,95
Tripura,110,140,190,4.6,44.8,20.2,70
Meghalaya,95,120,160,4.7,40.1,18.0,55
Nagaland,60,80,110,5.0,38.2,16.5,40
Manipur,45,65,90,2.8,32.4,12.1,30
Arunachal Pradesh,35,50,75,4.8,41.0,19.0,25
Sikkim,25,35,55,7.9,54.0,29.0,20
Mizoram,20,30,45,3.6,46.0,22.0,15
Ladakh (UT),15,22,35,11.7,47.0,23.0,12
A & N Islands (UT),12,18,28,6.8,51.0,26.0,10
DNH & DD (UT),10,15,22,3.5,48.0,24.0,8
Lakshadweep (UT),2,3,5,7.4,60.0,33.0,2
