request_id,dataset_name,attack_class,production_model,adaptive_model,ground_truth,production_prediction,adaptive_prediction,production_binary,adaptive_binary,production_risk,adaptive_risk,risk_delta,adaptive_confidence,agreement,production_correct,adaptive_correct,correctness_category,paired_correctness_diff,latency_prod_ms,latency_adapt_sel_ms,latency_adapt_inf_ms,latency_adapt_tot_ms
EVAL-IDS2018-0001,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,447.6003,0.1308,0.0007,0.1315
EVAL-IDS2018-0003,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.98,0.05,0.93,0.5717,False,False,True,adaptive_correct_production_incorrect,1,148.1355,0.1005,0.0006,0.1011
EVAL-IDS2018-0005,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,76.9807,0.1018,0.0006,0.1024
EVAL-IDS2018-0007,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,79.9303,0.107,0.0007,0.1077
EVAL-IDS2018-0009,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.98,0.05,0.93,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.5632,0.1068,0.0006,0.1074
EVAL-IDS2018-0011,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.94,0.05,0.89,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.5502,0.4356,0.0021,0.4377
EVAL-IDS2018-0013,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.5655,0.099,0.0006,0.0996
EVAL-IDS2018-0015,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,99.5086,0.135,0.0008,0.1358
EVAL-IDS2018-0017,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,69.8404,0.1146,0.0008,0.1154
EVAL-IDS2018-0019,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.96,0.05,0.91,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.4039,0.1103,0.0006,0.1109
EVAL-IDS2018-0021,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,83.7131,0.1043,0.0007,0.105
EVAL-IDS2018-0023,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9667,0.05,0.9167,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.7507,0.1096,0.0006,0.1102
EVAL-IDS2018-0025,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,81.6974,0.0943,0.0006,0.0949
EVAL-IDS2018-0027,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9533,0.05,0.9033,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.6979,0.0721,0.0006,0.0727
EVAL-IDS2018-0029,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.98,0.05,0.93,0.5717,False,False,True,adaptive_correct_production_incorrect,1,79.57,0.0854,0.0007,0.0861
EVAL-IDS2018-0031,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9467,0.05,0.8967,0.5717,False,False,True,adaptive_correct_production_incorrect,1,80.3415,0.0863,0.0007,0.087
EVAL-IDS2018-0033,cicids2018,NormalTraffic,intrusion,XGBoost,0,1,0,1,0,0.9467,0.05,0.8967,0.5717,False,False,True,adaptive_correct_production_incorrect,1,82.4697,0.0808,0.0006,0.0814
